SEA Analysis Data Result,,,,,,,,,,,,,,,,,,,,,,,,,,,
File:,20 11 2015 15-55-34.accdb,,,,,,,,,,,,,,,,,,,,,,,,,,
Method:,90C,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample:,5000 rpm energy with dummy area,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Mass (mg):,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,
n/nm,Solvent Name,Unit,En. (Stz Max),En. (Stz Com),En. (Pol Max),En. (Pol Com),Interpolated Retention Volume (Max),Interpolated Retention Volume (Com),Column Temperature [Kelvin],,,,,,,,,,,,,,,,,,
0.01,97.48231053,102.2232996,109.0532928,114.3081126,,,,,,,,,,,,,,,,,,,,,,,
0.02,90.90368962,92.51799948,101.7117359,103.4055702,,,,,,,,,,,,,,,,,,,,,,,
0.03,84.62242565,90.04272031,94.69751858,100.684346,,,,,,,,,,,,,,,,,,,,,,,
0.05,73.94921676,85.47204964,82.74537937,95.60691859,,,,,,,,,,,,,,,,,,,,,,,
0.07,65.10243675,81.67455429,72.8380265,91.38226916,,,,,,,,,,,,,,,,,,,,,,,
0.09,58.99527957,77.09235159,65.93639349,86.19598117,,,,,,,,,,,,,,,,,,,,,,,
0.1,56.85704657,75.08734213,63.55143041,83.92308607,,,,,,,,,,,,,,,,,,,,,,,
0.13,51.43283528,67.52336842,57.47407159,75.43109361,,,,,,,,,,,,,,,,,,,,,,,
0.15,51.03288224,62.92674203,57.05272052,70.21474136,,,,,,,,,,,,,,,,,,,,,,,
0.2,55.23635628,61.56436555,61.80228747,68.7932243,,,,,,,,,,,,,,,,,,,,,,,
0.25,63.24250959,60.64814951,70.80893871,67.79108467,,,,,,,,,,,,,,,,,,,,,,,
0.3,67.99643242,59.36967218,76.15064816,66.38383185,,,,,,,,,,,,,,,,,,,,,,,
0.35,75.58191915,57.96228362,84.68140185,64.84269843,,,,,,,,,,,,,,,,,,,,,,,
0.4,82.76237712,53.60816442,92.66124474,60.01368178,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injection Items,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Injection Name,Solvent,Injection Time [ms],Duration [min],Target Fractional Surface Coverage,Actual Fractional Surface Coverage,Column Temperature [Kelvin],Column Pressure Drop [Torr],Exit Flow Rate [sccm],Peak Area [µV•min],Peak Max (Signal) [µV],Peak Max (Time) [min],Peak Com [min],Peak Com/Max,Ret Volume (Max) [ml/g],Ret Volume (Com) [ml/g],Net Ret Time (Max) [min],Net Ret Volume (Max) [ml/g],Net Ret Time (Com) [min],Net Ret Volume (Com) [ml/g],Partial Pressure [Torr],Pres Ret Volume (Max) [mMol/(g•Torr)],Pres Ret Volume (Com) [mMol/(g•Torr)],Amount  [mMol/g],Amount  [mMol],Amount (Max) [mMol/g],Amount (Com) [mMol/g]
1,methaneInjection1,Methane,3000,3,n/a,0,363.3605713,77.9275856,9.997499943,11111.01907,269331.7258,0.338233333,0.342580626,1.012852939,610.7854818,618.6358705,0,0,0,0,0,0,0,0,0,0,0
2,methaneInjection2,Methane,3000,3,n/a,0,363.2714867,79.80174637,9.992499828,11070.62907,268283.4871,0.333233333,0.337987924,1.014268053,600.5815883,609.1507183,0,0,0,0,0,0,0,0,0,0,0
3,injection1,NONANE,1040,50,0.0075,0.005308026,363.1604027,78.75737,9.997499943,266.2351926,56.73818481,3.6971,4.961079146,1.341883948,6669.015407,8949.044726,3.3622,6064.905899,4.621987912,8337.37486,0.003203833,0.26778831,0.368126326,0.001260428,8.82E-06,0.000857949,0.001179415
4,injection2,NONANE,1373,50,0.01,0.007356252,363.1571449,77.98481369,9.994999886,369.1321323,81.66044906,3.565467,5.039854411,1.413518737,6433.108309,9093.319131,3.230567,5828.854231,4.700763177,8481.502886,0.004610224,0.257368054,0.374493478,0.001746794,1.22E-05,0.001219909,0.001706099
5,injection3,NONANE,2645,45,0.02,0.015035987,363.1517128,78.38540268,9.994999886,755.718248,192.8690778,2.977417,4.283296958,1.438594916,5370.631796,7726.163594,2.642517,4766.542886,3.944205724,7114.514584,0.010871016,0.210465757,0.314139982,0.003570401,2.50E-05,0.002537591,0.003672865
6,injection4,NONANE,3831,40,0.03,0.022578631,363.1500381,78.31386566,9.994999886,1136.537515,326.3162883,2.555817,3.934081352,1.539265664,4610.345874,7096.547104,2.220917,4006.231874,3.594990118,6484.872688,0.01836488,0.17689519,0.286339589,0.005361455,3.75E-05,0.00386322,0.005818654
7,injection5,NONANE,5992,30,0.05,0.035914112,363.1505417,78.45693207,9.997499943,1812.323436,637.2455798,1.9827,3.341209702,1.685181672,3577.090263,6028.046952,1.6478,2972.880081,3.002118468,5416.27515,0.035765404,0.131267354,0.239155327,0.008528059,5.97E-05,0.006147341,0.009980082
8,injection6,NONANE,7959,20,0.07,0.050081444,363.1504311,78.2709465,9.985000134,2533.294459,1070.66819,1.61445,2.983854307,1.84821723,2909.418046,5377.236561,1.27955,2305.891084,2.644763073,4766.156531,0.060022805,0.101816523,0.21044944,0.011892192,8.32E-05,0.008617145,0.015085039
9,injection7,NONANE,9828,18,0.09,0.062860204,363.1519455,78.55707932,10.00250006,3185.795719,1658.077569,1.31625,2.560416002,1.94523533,2375.757192,4621.406824,0.98135,1771.281535,2.221324769,4009.366226,0.092613102,0.078210535,0.177032658,0.014926599,0.000104486,0.011166049,0.020854586
10,injection8,NONANE,10754,15,0.1,0.069385512,363.1493973,78.78598022,10,3519.638123,1994.972147,1.212933,2.429260458,2.002798553,2188.390139,4382.904605,0.878033,1584.159025,2.090169224,3771.11161,0.11135915,0.069948674,0.166513748,0.016476079,0.000115333,0.012477311,0.023976061
11,injection9,NONANE,13614,12,0.13,0.08717686,363.1490196,78.8289032,9.994999886,4431.508297,3242.121069,1.0129,2.139189777,2.111945678,1826.52166,3857.514526,0.678,1222.610017,1.800098543,3246.045,0.180681789,0.053984503,0.143329537,0.020700761,0.000144905,0.016219659,0.033912042
12,injection10,NONANE,15674,10,0.15,0.103076843,363.151091,79.04349518,9.997499943,5247.664327,4780.699116,0.886383,1.922294706,2.168695368,1598.566323,3466.803379,0.551483,994.5837762,1.583203472,2855.262063,0.265958179,0.043915725,0.126073747,0.024476324,0.000171334,0.019964633,0.044663156
13,injection11,NONANE,21704,8,0.2,0.126510825,363.150946,78.90042877,9.992499828,6450.64895,8107.778183,0.783067,1.612348761,2.059017633,1411.662255,2906.637474,0.448167,807.9263176,1.273257527,2295.345853,0.450578308,0.035673902,0.101350755,0.030040888,0.000210286,0.026550754,0.063374546
14,injection12,NONANE,29233,7,0.25,0.150236665,363.1479744,78.84320831,9.994999886,7666.057742,12483.45819,0.736417,1.412589179,1.918191974,1327.934959,2547.23418,0.401517,724.0306251,1.073497945,1935.772055,0.693065461,0.031969758,0.085474511,0.035674756,0.000249723,0.034303009,0.084101017
15,injection13,NONANE,38046,7,0.3,0.180610395,363.1475662,79.07210922,10.00250006,9213.529622,18452.27343,0.723067,1.300010445,1.797911459,1304.646053,2345.638089,0.388167,700.3784496,0.960919211,1733.808148,1.023944259,0.030925425,0.076556829,0.042887213,0.00030021,0.044535577,0.109432048
16,injection14,NONANE,47401,7,0.35,0.213624149,363.156485,79.31532288,9.989999771,10878.31023,25158.63411,0.73975,1.219301451,1.648261509,1332.903162,2196.972977,0.40485,729.470558,0.880210217,1585.988485,1.400324789,0.032209205,0.070028087,0.050726562,0.000355086,0.056658494,0.135789257
